name,parent_name,desc,rank
gi-J-6WWKG,gi-J-8NYR3,"Romalea microptera (Palisot de Beauvois, 1817)",species
gi-J-8NYR3,gi-J-8PTJQ,"Romalea Serville, 1831",genus
gi-J-8PTJQ,gi-J-8NL2L,"Romaleini Pictet & Saussure, 1887",tribe
gi-J-8NL2L,gi-J-8NKQD,"Romaleinae Pictet & Saussure, 1887",subfamily
gi-J-8NKQD,gi-J-B7W47,"Romaleidae Pictet & Saussure, 1887",family
gi-J-B7W47,gi-J-8NKFS,"Acridoidea MacLeay, 1821",superfamily
gi-J-8NKFS,gi-J-8NKFL,"Acrididea Targioni-Tozzetti, 1882",infraorder
gi-J-8NKFL,gi-J-B7VSM,"Caelifera Ander, 1936",suborder
gi-J-B7VSM,gi-J-H6,"Orthoptera Latreille, 1810",order
gi-J-H6,gi-J-RT,Insecta,class
gi-J-RT,gi-J-N,Arthropoda,phylum
gi-J-FPJD,gi-J-YRJ,"Aplonis insularis Mayr, 1931",species
gi-J-YRJ,gi-J-GRP,"Aplonis Gould, 1836",genus
gi-J-GRP,gi-J-3RL,"Sturnidae Rafinesque, 1815",family
gi-J-H6B5,gi-J-33PC,Asclepias connivens Baldwin ex Elliott,species
gi-J-33PC,gi-J-93LSR,Asclepias L.,genus
gi-J-93LSR,gi-J-6L2,Asclepiadoideae Burnett,subfamily
gi-J-6L2,gi-J-BMGVQ,Apocynaceae Juss.,family
gi-J-BMGVQ,gi-J-MG,Gentianales Juss. ex Bercht. & J. Presl,order
gi-J-79DJQ,gi-J-7BWB,Salix taxifolia Kunth,species
gi-J-7BWB,gi-J-FWG,Salix L.,genus
gi-J-FWG,gi-J-MLP,Salicaceae Mirb.,family
gi-J-MLP,gi-J-MG,Malpighiales,order
gi-J-6GG7J,gi-J-4DTN,"Eremomela pusilla Hartlaub, 1857",species
gi-J-4DTN,gi-J-89S,"Eremomela Sundevall, 1850",genus
gi-J-89S,gi-J-3RL,"Cisticolidae Sundevall, 1872",family
