name,parent_name,desc,rank
gi-L-65ZM,gi-L-628H3,"Nycticeinops Hill & Harrison, 1987",genus
gi-L-628H3,gi-L-628BX,"Vespertilionini Gray, 1821",tribe
gi-L-5X396,gi-L-62H47,Browallia eludens Van Devender & P. D. Jenkins,species
gi-L-62H47,gi-L-JB8,Browallia L.,genus
gi-L-JB8,gi-L-626XM,Cestroideae Burnett,subfamily
gi-L-626XM,gi-L-B7VXK,Solanaceae Juss.,family
gi-L-B7VXK,gi-L-MG,Solanales Juss. ex Bercht. & J. Presl,order
gi-L-43JS5,gi-L-5TCL,"Miniopterus fraterculus Thomas & Schwann, 1906",species
gi-L-5TCL,gi-L-8NKMV,"Miniopterus Bonaparte, 1837",genus
gi-L-8NKMV,gi-L-5T9,"Miniopteridae Dobson, 1875",family
gi-L-BBLRV,gi-L-B8VH5,Pteridium aquilinum subsp. latiusculum (Desv.) Hultén,subspecies
gi-L-B8VH5,gi-L-B8WP6,Pteridium aquilinum (L.) Kuhn,species
gi-L-B8WP6,gi-L-BTVYT,Pteridium Gled. ex Scop.,genus
gi-L-BTVYT,gi-L-B8VD9,Hypolepidoideae Lovis,subfamily
gi-L-B8VD9,gi-L-B8TXB,Dennstaedtiaceae Lotsy,family
gi-L-B8TXB,gi-L-GV,Polypodiales Link,order
gi-L-GV,gi-L-TP,Polypodiopsida,class
gi-L-67KFN,gi-L-XJ7,"Anthus sylvanus (Hodgson, 1845)",species
gi-L-GGNP,gi-L-9WLLY,"Argia fumipennis (Burmeister, 1839)",species
gi-L-9WLLY,gi-L-9WKK4,"Argia Rambur, 1842",genus
gi-L-9WKK4,gi-L-B6NHX,"Coenagrionidae Kirby, 1890",family
gi-L-33T9W,gi-L-63262,Dacrydium cupressinum Sol. ex G. Forst.,species
gi-L-63262,gi-L-627HD,Dacrydium,genus
gi-L-627HD,gi-L-623FD,Podocarpaceae,family
gi-L-623FD,gi-L-GG,Pinales,order
gi-L-GG,gi-L-TP,Pinopsida,class
gi-L-62PHB,gi-L-628L6,"Dendrolagus Müller, 1840",genus
gi-L-628L6,gi-L-CBD,"Macropodinae Gray, 1821",subfamily
gi-L-CBD,gi-L-6238Q,"Macropodidae Gray, 1821",family
gi-L-6238Q,gi-L-35B,"Macropodiformes Ameghino, 1889",suborder
gi-L-35B,gi-L-LJ,"Diprotodontia Owen, 1866",order
gi-L-3XJXF,gi-L-62Y8V,"Makalata occasius (Thomas, 1921)",species
gi-L-62Y8V,gi-L-JH9,"Makalata Husson, 1978",genus
gi-L-JH9,gi-L-9JX,"Echimyinae Gray, 1825",subfamily
gi-L-4TQLC,gi-L-7B68,"Rupicapra rupicapra (Linnaeus, 1758)",species
gi-L-7B68,gi-L-J9X,"Rupicapra Blainville, 1816",genus
gi-L-J9X,gi-L-622G9,"Caprinae Gray, 1821",subfamily
gi-L-622G9,gi-L-B6L7D,"Bovidae Gray, 1821",family
gi-L-B6L7D,gi-L-LG,"Artiodactyla Owen, 1848",order
gi-L-3M37F,gi-L-4XGJ,"Hipposideros lamottei Brosset, 1985",species
gi-L-4XGJ,gi-L-B3M,"Hipposideros Gray, 1831",genus
gi-L-B3M,gi-L-5M3,"Hipposideridae Lydekker, 1891",family
gi-L-5M3,gi-L-4FY,"Rhinolophoidea Gray, 1825",superfamily
gi-L-4FY,gi-L-B6L7G,"Yinpterochiroptera Springer, Teeling, Madsen, Stanhope & Jong, 2001",suborder
